漢字番号,連番,漢字,1文字抽出,音訓,文字1,読み1,文字２,読み２,文字３,読み3,文字1,文字2,文字3,備考（文化庁の元データの備考）
61,109,雅,雅,ガ,雅趣,がしゅ,優雅,ゆうが,風雅,ふうが,雅趣(がしゅ),優雅(ゆうが),風雅(ふうが),
62,110,餓,餓,ガ,餓死,がし,餓鬼,がき,飢餓,きが,餓死(がし),餓鬼(がき),飢餓(きが),
63,111,介,介,カイ,介入,かいにゅう,紹介,しょうかい,介する,かいする,介入(かいにゅう),紹介(しょうかい),介する(かいする),
64,112,戒,戒,カイ,戒心,かいしん,戒律,かいりつ,警戒,けいかい,戒心(かいしん),戒律(かいりつ),警戒(けいかい),
64,113,戒,戒,いましめる,戒める,いましめる,,,,,戒める(いましめる),,,
65,114,怪,怪,カイ,怪談,かいだん,怪物,かいぶつ,奇怪,きかい,怪談(かいだん),怪物(かいぶつ),奇怪(きかい),
65,115,怪,怪,あやしい,怪しい,あやしい,,,,,怪しい(あやしい),,,
65,116,怪,怪,あやしむ,怪しむ,あやしむ,,,,,怪しむ(あやしむ),,,
66,117,拐,拐,カイ,拐帯,かいたい,,,,,拐帯(かいたい),,,
67,118,悔(),悔,カイ,悔恨,かいこん,,,,,悔恨(かいこん),,,
67,119,悔(),悔,くいる,悔いる,くいる,,,,,悔いる(くいる),,,
67,120,悔(),悔,くやむ,悔やむ,くやむ,,,,,悔やむ(くやむ),,,
67,121,悔(),悔,くやしい,悔しい,くやしい,,,,,悔しい(くやしい),,,
68,122,皆,皆,カイ,皆無,かいむ,皆勤,かいきん,皆出席,みなしゅっせき,皆無(かいむ),皆勤(かいきん),皆出席(みなしゅっせき),
68,123,皆,皆,みな,皆,みな,,,,,皆(みな),,,
69,124,塊,塊,カイ,塊状,かいじょう,,,,,塊状(かいじょう),,,
69,125,塊,塊,かたまり,塊,かたまり,,,,,塊(かたまり),,,
70,126,壊(壞),壊,カイ,壊滅,かいめつ,破壊,はかい,決壊,けっかい,壊滅(かいめつ),破壊(はかい),決壊(けっかい),
70,127,壊(壞),壊,こわす,壊す,こわす,,,,,壊す(こわす),,,
70,128,壊(壞),壊,こわれる,壊れる,こわれる,,,,,壊れる(こわれる),,,
71,129,懐(懷),懐,カイ,懐中,かいちゅう,懐古,かいこ,述懐,じゅっかい,懐中(かいちゅう),懐古(かいこ),述懐(じゅっかい),
71,130,懐(懷),懐,ふところ,懐,ふところ,懐手,ふところで,内懐,うちぶところ,懐(ふところ),懐手(ふところで),内懐(うちぶところ),
71,131,懐(懷),懐,なつかしい,懐かしい,なつかしい,,,,,懐かしい(なつかしい),,,
71,132,懐(懷),懐,なつかしむ,懐かしむ,なつかしむ,,,,,懐かしむ(なつかしむ),,,
71,133,懐(懷),懐,なつく,懐く,いだく,,,,,懐く(いだく),,,
71,134,懐(懷),懐,なつける,懐ける,いだける,,,,,懐ける(いだける),,,
72,135,劾,劾,ガイ,弾劾,だんがい,,,,,弾劾(だんがい),,,
73,136,涯,涯,ガイ,生涯,しょうがい,,,,,生涯(しょうがい),,,
74,137,慨(),慨,ガイ,慨嘆,がいたん,憤慨,ふんがい,感慨,かんがい,慨嘆(がいたん),憤慨(ふんがい),感慨(かんがい),
75,138,該,該,ガイ,該当,がいとう,該博,がいはく,当該,とうがい,該当(がいとう),該博(がいはく),当該(とうがい),
76,139,概(),概,ガイ,概念,がいねん,大概,たいがい,概して,がいして,概念(がいねん),大概(たいがい),概して(がいして),
77,140,垣,垣,かき,垣,かき,,,,,垣(かき),,,
78,141,核,核,カク,核心,かくしん,核反応,かくはんのう,結核,けっかく,核心(かくしん),核反応(かくはんのう),結核(けっかく),
79,142,殻(殼),殻,カク,甲殻,こうかく,,,,,甲殻(こうかく),,,
79,143,殻(殼),殻,から,殻,から,,,,,殻(から),,,
80,144,郭,郭,カク,城郭,じょうかく,外郭,がいかく,輪郭,りんかく,城郭(じょうかく),外郭(がいかく),輪郭(りんかく),
81,145,較,較,カク,比較,ひかく,,,,,比較(ひかく),,,
82,146,隔,隔,カク,隔離,かくり,隔月,かくげつ,間隔,かんかく,隔離(かくり),隔月(かくげつ),間隔(かんかく),
82,147,隔,隔,へだてる,隔てる,へだてる,,,,,隔てる(へだてる),,,
82,148,隔,隔,へだたる,隔たる,へだたる,,,,,隔たる(へだたる),,,
83,149,獲,獲,カク,獲得,かくとく,捕獲,ほかく,漁獲高,ぎょかくだか,獲得(かくとく),捕獲(ほかく),漁獲高(ぎょかくだか),
83,150,獲,獲,える,獲る,とる,,,,,獲る(とる),,,←→得る
84,151,嚇,嚇,カク,威嚇,いかく,,,,,威嚇(いかく),,,
85,152,穫,穫,カク,収穫,しゅうかく,,,,,収穫(しゅうかく),,,
86,153,岳(嶽),岳,ガク,岳父,がくふ,,,,,岳父(がくふ),,,
86,154,岳(嶽),岳,たけ,○○岳,まるまるたけ,,,,,○○岳(まるまるたけ),,,
87,155,掛,掛,かける,掛ける,かける,,,,,掛ける(かける),,,←→懸ける，架ける
87,156,掛,掛,かかる,掛かる,かかる,,,,,掛かる(かかる),,,←→係る，懸かる，架かる
87,157,掛,掛,かかり,掛,かかり,,,,,掛(かかり),,,←→係
88,158,括,括,カツ,括弧,かっこ,一括,いっかつ,包括,ほうかつ,括弧(かっこ),一括(いっかつ),包括(ほうかつ),
89,159,喝(),喝,カツ,喝破,かっぱ,一喝,いっかつ,恐喝,きょうかつ,喝破(かっぱ),一喝(いっかつ),恐喝(きょうかつ),
90,160,渇(),渇,カツ,渇望,かつぼう,,,,,渇望(かつぼう),,,
90,161,渇(),渇,かわく,渇く,かわく,,,,,渇く(かわく),,,←→乾く
91,162,滑,滑,カツ,滑走,かっそう,滑降,かっこう,円滑,えんかつ,滑走(かっそう),滑降(かっこう),円滑(えんかつ),
91,163,滑,滑,すべる,滑る,すべる,,,,,滑る(すべる),,,
91,164,滑,滑,なめらか,滑らかだ,なめらかだ,,,,,滑らかだ(なめらかだ),,,
92,165,褐(),褐,カツ,褐色,かっしょく,,,,,褐色(かっしょく),,,
93,166,轄,轄,カツ,管轄,かんかつ,所轄,しょかつ,直轄,ちょっかつ,管轄(かんかつ),所轄(しょかつ),直轄(ちょっかつ),
94,167,且,且,かつ,且つ,かつ,,,,,且つ(かつ),,,
95,168,刈,刈,かる,刈る,かる,,,,,刈る(かる),,,
96,169,甘,甘,カン,甘言,かんげん,甘受,かんじゅ,甘味料,かんみりょう,甘言(かんげん),甘受(かんじゅ),甘味料(かんみりょう),
96,170,甘,甘,あまい,甘い,あまい,,,,,甘い(あまい),,,
96,171,甘,甘,あまえる,甘える,あまえる,,,,,甘える(あまえる),,,
96,172,甘,甘,あまやかす,甘やかす,あまやかす,,,,,甘やかす(あまやかす),,,
97,173,汗,汗,カン,汗顔,かんがん,,,,,汗顔(かんがん),,,
97,174,汗,汗,あせ,汗,あせ,,,,,汗(あせ),,,
98,175,缶(罐),缶,カン,缶,かん,缶詰,かんづめ,製缶,せいかん,缶(かん),缶詰(かんづめ),製缶(せいかん),
99,176,肝,肝,カン,肝臓,かんぞう,肝胆,かんたん,肝要,かんよう,肝臓(かんぞう),肝胆(かんたん),肝要(かんよう),
99,177,肝,肝,きも,肝,きも,,,,,肝(きも),,,
100,178,冠,冠,カン,冠詞,かんし,王冠,おうかん,栄冠,えいかん,冠詞(かんし),王冠(おうかん),栄冠(えいかん),
100,179,冠,冠,かんむり,冠,かん,,,,,冠(かん),,,
101,180,陥(陷),陥,カン,陥落,かんらく,陥没,かんぼつ,欠陥,けっかん,陥落(かんらく),陥没(かんぼつ),欠陥(けっかん),
101,181,陥(陷),陥,おちいる,陥る,おちいる,,,,,陥る(おちいる),,,
101,182,陥(陷),陥,おとしいれる,陥れる,おとしいれる,,,,,陥れる(おとしいれる),,,
102,183,乾,乾,カン,乾燥,かんそう,乾杯,かんぱい,乾電池,かんでんち,乾燥(かんそう),乾杯(かんぱい),乾電池(かんでんち),
102,184,乾,乾,かわく,乾く,かわく,,,,,乾く(かわく),,,←→渇く
102,185,乾,乾,かわかす,乾かす,かわかす,,,,,乾かす(かわかす),,,
103,186,勘,勘,カン,勘弁,かんべん,,,,,勘弁(かんべん),,,
104,187,患,患,カン,患者,かんじゃ,,,,,患者(かんじゃ),,,
104,188,患,患,わずらう,患う,わずらう,,,,,患う(わずらう),,,←→煩う
